amount,cost,ratio,duration,city,country,record,history
296.0,94.0,0.317567567568,3,BerekumBrongAhafoGhana,Ghana,1.0,13
201.0,123.0,0.611940298507,3,MwembeTayari,Kenya,1.0,15
193.0,132.0,0.683937823834,2,Saint-louis,Senegal,1.0,14
352.0,158.0,0.448863636364,21,Wareng,Kenya,1.0,7
201.0,158.0,0.786069651741,3,Lwanda,Kenya,1.0,15
192.0,192.0,1.0,1,Mamboleo,Kenya,1.0,15
346.0,206.0,0.595375722543,14,Kisii,Kenya,1.0,57
383.0,211.0,0.55091383812,9,Eldoret,Kenya,1.0,14
378.0,240.0,0.634920634921,10,Techiman,Ghana,1.0,11
385.0,340.0,0.883116883117,12,Sunyani,Ghana,1.0,33
