project,url,score
"Stock of rice, oil and sugar for my shop",https://www.zidisha.org/loan/good-foods-home,0.432622811759
Beauty products for my salon,https://www.zidisha.org/loan/beuty-products-for-my-business,0.377112164172
Utensils and food stock for our restaurant,https://www.zidisha.org/loan/fonds-de-roulement-3,0.363559878836
Buy soap-making & packaging materials for soap business,https://www.zidisha.org/loan/buy-soap-making-and-packaging-materials-for-making-soap-1,0.337315963347
Chair and shaving machine for barbershop,https://www.zidisha.org/loan/chair-and-shaving-machine,0.343941624418
Water tank for irrigating my farm,https://www.zidisha.org/loan/water-tank-4,0.309112178325
Opening a pharmacy,https://www.zidisha.org/loan/opening-chemist,0.462695371462
Tuition to study health at university,https://www.zidisha.org/loan/school-fees-43,0.375988964797
Tuition for university degree in education.,https://www.zidisha.org/loan/tuition-for-university-degree-in-education-41,0.348678033745
Nutritious feed for my pig farm,https://www.zidisha.org/loan/nutritious-feed-for-my-pig-farm,0.353148979631
